iter	Passed	Remaining
1392	4632	688
1393	4636	685
1394	4639	681
1395	4642	678
1396	4646	675
1397	4649	671
1398	4652	668
1399	4655	665
1400	4659	661
1401	4662	658
1402	4665	655
1403	4669	651
1404	4672	648
1405	4675	645
1406	4678	641
1407	4681	638
1408	4684	635
1409	4688	631
1410	4691	628
1411	4694	625
1412	4698	621
1413	4701	618
1414	4704	615
1415	4708	611
1416	4711	608
1417	4714	605
1418	4717	601
1419	4721	598
1420	4724	595
1421	4727	591
1422	4730	588
1423	4734	585
1424	4737	581
1425	4740	578
1426	4743	575
1427	4747	571
1428	4750	568
1429	4753	565
1430	4757	561
1431	4760	558
1432	4763	555
1433	4766	551
1434	4770	548
1435	4773	545
1436	4776	541
1437	4780	538
1438	4783	535
1439	4786	531
1440	4790	528
1441	4793	525
1442	4797	521
1443	4800	518
1444	4803	515
1445	4807	511
1446	4810	508
1447	4813	505
1448	4817	501
1449	4820	498
1450	4823	495
1451	4827	492
1452	4830	488
1453	4834	485
1454	4837	482
1455	4841	478
1456	4844	475
1457	4848	472
1458	4851	468
1459	4855	465
1460	4858	462
1461	4862	458
1462	4865	455
1463	4869	452
1464	4872	449
1465	4875	445
1466	4879	442
1467	4882	439
1468	4885	435
1469	4889	432
1470	4892	429
1471	4896	425
1472	4899	422
1473	4903	419
1474	4906	415
1475	4909	412
1476	4912	409
1477	4916	405
1478	4919	402
1479	4922	399
1480	4926	395
1481	4929	392
1482	4933	389
1483	4936	385
1484	4940	382
1485	4943	379
1486	4947	375
1487	4950	372
1488	4953	369
1489	4957	365
1490	4960	362
1491	4963	359
1492	4967	355
1493	4970	352
1494	4973	349
1495	4977	345
1496	4980	342
1497	4983	339
1498	4986	336
1499	4990	332
1500	4993	329
1501	4997	326
1502	5000	322
1503	5004	319
1504	5007	316
1505	5010	312
1506	5014	309
1507	5017	306
1508	5020	302
1509	5024	299
1510	5027	296
1511	5031	292
1512	5034	289
1513	5037	286
1514	5041	282
1515	5045	279
1516	5049	276
1517	5052	272
1518	5055	269
1519	5059	266
1520	5062	262
1521	5066	259
1522	5069	256
1523	5073	253
1524	5076	249
1525	5080	246
1526	5083	243
1527	5086	239
1528	5090	236
1529	5093	233
1530	5096	229
1531	5100	226
1532	5104	223
1533	5107	219
1534	5110	216
1535	5113	213
1536	5116	209
1537	5120	206
1538	5123	203
1539	5127	199
1540	5130	196
1541	5134	193
1542	5137	189
1543	5140	186
1544	5144	183
1545	5147	179
1546	5151	176
1547	5154	173
1548	5158	169
1549	5161	166
1550	5164	163
1551	5168	159
1552	5171	156
1553	5175	153
1554	5178	149
1555	5182	146
1556	5185	143
1557	5189	139
1558	5192	136
1559	5196	133
1560	5199	129
1561	5203	126
1562	5206	123
1563	5209	119
1564	5213	116
1565	5216	113
1566	5220	109
1567	5223	106
1568	5227	103
1569	5230	99
1570	5233	96
1571	5237	93
1572	5240	89
1573	5243	86
1574	5247	83
1575	5250	79
1576	5254	76
1577	5258	73
1578	5261	69
1579	5264	66
1580	5268	63
1581	5271	59
1582	5275	56
1583	5278	53
1584	5281	49
1585	5285	46
1586	5288	43
1587	5292	39
1588	5295	36
1589	5299	33
1590	5302	29
1591	5305	26
1592	5309	23
1593	5312	19
1594	5316	16
1595	5319	13
1596	5323	9
1597	5326	6
1598	5329	3
1599	5333	0
